PR,MAC,IRI
0.4473039237036596,0.5064935052639568,0.20155038697201685
0.43504901809016966,0.5064935052639568,0.2609819107718553
0.5073529391700546,0.5454545473671784,0.2790697648855237
0.7549019611958863,0.7142857157884972,0.2971576226632747
0.7414215692190864,0.6623376631573621,0.17054263287534807
0.44485294048194196,0.6883116877196829,0.33333333089061157
0.4093137257474289,0.649350649122955,0.23772609886343635
0.40686274252571125,0.5844155859639062,0.2971576226632747
0.5821078434716576,0.740259740350818,0.3798449620356148
0.4583333324587418,0.6883116877196829,0.2480620144529375
0.3357843130566849,0.6883116877196829,0.23772609886343635
0.29534313712628557,0.740259740350818,0.3178294575063597
0.5686274514948577,0.6753246771917694,0.44444444363020386
0.7401960776082277,0.610389610526227,0.26356589150127196
0.6507352949665153,0.6753246771917694,0.19379844844784969
0.829656865497489,0.6753246771917694,0.17571059433418132
0.27450980073188197,0.7142857157884972,0.4108527124682011
0.5379901979562307,0.8051948070163601,0.37467700057678166
0.3786764722088019,0.8051948070163601,0.4883720903817078
0.4926470608299452,0.48051948070163597,0.369509042782031
0.34803921342262584,0.441558442104908,0.3385012923494448
0.6936274488710832,0.493506494736043,0.32558139603052705
0.4399509792860558,0.6753246771917694,0.3178294575063597
0.4007352949665152,0.6753246771917694,0.369509042782031
0.5931372574742888,0.6623376631573621,0.33591731162002814
0.2794117619277682,0.5714285719294989,0.2506459951823542
0.506127452806745,0.5714285719294989,0.4392764858354533
0.651960786577374,0.5584415578950919,0.2583979300424387
0.6164215665953119,0.519480519298364,0.23255813740460304
0.506127452806745,0.5974025964918199,0.27390180709077316
0.6348039197679978,0.5454545473671784,0.3385012923494448
0.45343137126285565,0.519480519298364,0.4082687317387844
0.3370098046675437,0.4545454561393153,0.20930232549618413
0.4852941164123414,0.493506494736043,0.45478035921970505
0.645833333770629,0.519480519298364,0.2894056841391075
0.7377450996340589,0.649350649122955,0.1317829439185946
0.6421568641856017,0.42857142807050097,0.3772609813061981
0.6188725498170295,0.389610389473773,0.3617571042578638
0.4779411772422865,0.3246753263147243,0.20930232549618413
0.5490196067113129,0.41558441754258735,0.47286821699745607
0.4669117632396554,0.389610389473773,0.3410852694147788
0.5870098046675436,0.4545454561393153,0.3617571042578638
0.6433823557964604,0.4675324666672289,0.3824289391009488
0.5159313699509684,0.441558442104908,0.3410852694147788
0.6078431358143983,0.4025974035081801,0.2609819107718553
